year,geo,sector_code,sector,emissions_mio_t,total_mio_t,share_pct
1990,ES,CRF1,Energía,212.256390,286.655160,74.0459
1990,ES,CRF2,Procesos industriales,27.961620,286.655160,9.7544
1990,ES,CRF3,Agricultura,33.375630,286.655160,11.6431
1990,ES,CRF5,Residuos,13.061520,286.655160,4.5565
1991,ES,CRF1,Energía,222.844230,294.557140,75.6540
1991,ES,CRF2,Procesos industriales,26.635180,294.557140,9.0424
1991,ES,CRF3,Agricultura,31.930440,294.557140,10.8402
1991,ES,CRF5,Residuos,13.147290,294.557140,4.4634
1992,ES,CRF1,Energía,233.170880,303.817710,76.7470
1992,ES,CRF2,Procesos industriales,25.311570,303.817710,8.3312
1992,ES,CRF3,Agricultura,31.924690,303.817710,10.5078
1992,ES,CRF5,Residuos,13.410570,303.817710,4.4140
1993,ES,CRF1,Energía,224.765770,293.595750,76.5562
1993,ES,CRF2,Procesos industriales,24.345430,293.595750,8.2922
1993,ES,CRF3,Agricultura,30.977960,293.595750,10.5512
1993,ES,CRF5,Residuos,13.506590,293.595750,4.6004
1994,ES,CRF1,Energía,235.054130,309.697770,75.8979
1994,ES,CRF2,Procesos industriales,28.314270,309.697770,9.1425
1994,ES,CRF3,Agricultura,32.459490,309.697770,10.4810
1994,ES,CRF5,Residuos,13.869880,309.697770,4.4785
1995,ES,CRF1,Energía,248.976870,325.727500,76.4372
1995,ES,CRF2,Procesos industriales,29.870980,325.727500,9.1705
1995,ES,CRF3,Agricultura,32.798760,325.727500,10.0694
1995,ES,CRF5,Residuos,14.080900,325.727500,4.3229
1996,ES,CRF1,Energía,236.593960,317.363200,74.5499
1996,ES,CRF2,Procesos industriales,30.786040,317.363200,9.7006
1996,ES,CRF3,Agricultura,35.430440,317.363200,11.1640
1996,ES,CRF5,Residuos,14.552760,317.363200,4.5855
1997,ES,CRF1,Energía,247.947310,331.335810,74.8326
1997,ES,CRF2,Procesos industriales,32.962900,331.335810,9.9485
1997,ES,CRF3,Agricultura,35.286480,331.335810,10.6498
1997,ES,CRF5,Residuos,15.139120,331.335810,4.5691
1998,ES,CRF1,Energía,254.886680,340.864860,74.7765
1998,ES,CRF2,Procesos industriales,34.755240,340.864860,10.1962
1998,ES,CRF3,Agricultura,36.204360,340.864860,10.6213
1998,ES,CRF5,Residuos,15.018580,340.864860,4.4060
1999,ES,CRF1,Energía,277.433820,366.978780,75.5994
1999,ES,CRF2,Procesos industriales,37.485520,366.978780,10.2146
1999,ES,CRF3,Agricultura,36.872660,366.978780,10.0476
1999,ES,CRF5,Residuos,15.186780,366.978780,4.1383
2000,ES,CRF1,Energía,288.589760,381.945490,75.5578
2000,ES,CRF2,Procesos industriales,39.374050,381.945490,10.3088
2000,ES,CRF3,Agricultura,38.627350,381.945490,10.1133
2000,ES,CRF5,Residuos,15.354330,381.945490,4.0200
2001,ES,CRF1,Energía,289.947350,380.596040,76.1824
2001,ES,CRF2,Procesos industriales,36.955590,380.596040,9.7099
2001,ES,CRF3,Agricultura,38.125910,380.596040,10.0174
2001,ES,CRF5,Residuos,15.567190,380.596040,4.0902
2002,ES,CRF1,Energía,309.202050,398.902040,77.5133
2002,ES,CRF2,Procesos industriales,36.593200,398.902040,9.1735
2002,ES,CRF3,Agricultura,37.444020,398.902040,9.3868
2002,ES,CRF5,Residuos,15.662770,398.902040,3.9265
2003,ES,CRF1,Energía,313.101230,405.987530,77.1209
2003,ES,CRF2,Procesos industriales,39.251670,405.987530,9.6682
2003,ES,CRF3,Agricultura,38.147540,405.987530,9.3962
2003,ES,CRF5,Residuos,15.487090,405.987530,3.8147
2004,ES,CRF1,Energía,329.151580,421.383980,78.1120
2004,ES,CRF2,Procesos industriales,40.356730,421.383980,9.5772
2004,ES,CRF3,Agricultura,37.033910,421.383980,8.7886
2004,ES,CRF5,Residuos,14.841760,421.383980,3.5221
2005,ES,CRF1,Energía,343.484660,436.341100,78.7193
2005,ES,CRF2,Procesos industriales,43.066770,436.341100,9.8700
2005,ES,CRF3,Agricultura,34.798330,436.341100,7.9750
2005,ES,CRF5,Residuos,14.991340,436.341100,3.4357
2006,ES,CRF1,Energía,334.140830,430.650170,77.5899
