year,geo,index_base1
1990,ES,1.000000
1990,EU27_2020,1.000000
1991,ES,1.049882
1991,EU27_2020,0.986877
1992,ES,1.098534
1992,EU27_2020,0.954924
1993,ES,1.058935
1993,EU27_2020,0.939346
1994,ES,1.107407
1994,EU27_2020,0.928956
1995,ES,1.173001
1995,EU27_2020,0.939749
1996,ES,1.114661
1996,EU27_2020,0.964293
1997,ES,1.168150
1997,EU27_2020,0.945384
1998,ES,1.200843
1998,EU27_2020,0.941077
1999,ES,1.307069
1999,EU27_2020,0.927534
2000,ES,1.359628
2000,EU27_2020,0.921761
2001,ES,1.366024
2001,EU27_2020,0.939248
2002,ES,1.456738
2002,EU27_2020,0.938197
2003,ES,1.475109
2003,EU27_2020,0.957761
2004,ES,1.550726
2004,EU27_2020,0.954845
2005,ES,1.618254
2005,EU27_2020,0.953075
2006,ES,1.574232
2006,EU27_2020,0.954676
2007,ES,1.610944
2007,EU27_2020,0.938500
2008,ES,1.481940
2008,EU27_2020,0.923686
2009,ES,1.319425
2009,EU27_2020,0.860351
2010,ES,1.249804
2010,EU27_2020,0.879675
2011,ES,1.261425
2011,EU27_2020,0.852236
2012,ES,1.241954
2012,EU27_2020,0.838371
2013,ES,1.126841
2013,EU27_2020,0.816129
2014,ES,1.122126
2014,EU27_2020,0.776097
2015,ES,1.194540
2015,EU27_2020,0.792066
2016,ES,1.144381
2016,EU27_2020,0.790431
2017,ES,1.213844
2017,EU27_2020,0.794518
2018,ES,1.188856
2018,EU27_2020,0.775916
2019,ES,1.111189
2019,EU27_2020,0.737483
2020,ES,0.933393
2020,EU27_2020,0.665738
2021,ES,1.010536
2021,EU27_2020,0.708862
2022,ES,1.043918
2022,EU27_2020,0.696176
2023,ES,0.958633
2023,EU27_2020,0.632065
